"Date";"Debate title/Bill name";"Debate Type";"link";"Representative"
"2024-08-09 00:00:00";"Request to govt. resume rail services through nashipur rail bridge and a rail line needs to be constructed from krishnanagar to karimpr";"Special Mention";"/mptrack/debatenotfound";"Abu Taher Khan"
"2024-08-08 00:00:00";"The Bhartiya Vayuyan Vidheyak, 2024";"Government Bills";"/mptrack/debatenotfound";"Abhay Kumar Sinha"
"2024-08-07 00:00:00";"Regarding need to provide stoppage of train No. 13151/52 at Paraiya Railway Station and extend the train No. 12836 upto Gaya in Bihar";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Abhay Kumar Sinha"
"2024-08-06 00:00:00";"The Finance (No.2) Bill, 2024";"Government Bills";"/mptrack/debatenotfound";"Abhay Kumar Sinha"
"2024-08-05 00:00:00";"Discussion on the Demands for Grants Nos. 43 and 44 under the control of the Ministry of Fisheries, Animal Husbandry and Dairying";"Budget (General)";"/mptrack/debatenotfound";"Abhay Kumar Sinha"
"2024-08-02 00:00:00";"Regarding request to complete the pending projects of North koel reservoir project, Mandal Dam project etc.";"Special Mention";"/mptrack/debatenotfound";"Abhay Kumar Sinha"
"2024-08-01 00:00:00";"Discussion on the Demands for Grants Nos. 25 and 26 under the control of the Ministry of Education";"Budget (General)";"/mptrack/debatenotfound";"Abhay Kumar Sinha"
"2024-07-31 00:00:00";"Discussion on the Demand for Grant No. 85 under the control of the Ministry of Railways";"Budget (General)";"/mptrack/debatenotfound";"Abhay Kumar Sinha"
"2024-07-22 00:00:00";"Regarding sanction of a dedicated entry and exit point at Mithaki Mahua in Gaya District under Bharatmala Project";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Abhay Kumar Sinha"
"2024-07-22 00:00:00";"Discussion on India's preparedness for upcoming Olympic Games";"LS - Short Duration Discussions (Rule-193)";"/mptrack/debatenotfound";"Abhay Kumar Sinha"
"2024-07-01 00:00:00";"Motion of Thanks on the President's Address";"Motion of Thanks on the President's Address";"/mptrack/debatenotfound";"Abhay Kumar Sinha"
"2024-07-24 00:00:00";"(i) General Discussion on the Budget-2024-25; (ii) General Discussion on the Budget of Union Territory of Jammu and Kashmir for 2024-25; and (iii) Demands for Grants in respect of Union Territory of Jammu and Kashmir-2024-25.";"Budget (General)";"/mptrack/debatenotfound";"Abhijit Gangopadhyay"
"2024-08-06 00:00:00";"Regarding construction of Outer Ring Road in Budaun district, Uttar Pradesh";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Aditya Yadav"
"2024-08-02 00:00:00";"Regarding establishment of Kendriya Vidyalaya in Gunnaur, Uttar Pradesh";"Special Mention";"/mptrack/debatenotfound";"Aditya Yadav"
"2024-07-31 00:00:00";"Discussion on the Demand for Grant No. 85 under the control of the Ministry of Railways";"Budget (General)";"/mptrack/debatenotfound";"Aditya Yadav"
"2024-07-29 00:00:00";"(i) General Discussion on the Budget-2024-25; (ii) General Discussion on the Budget of Union Territory of Jammu and Kashmir for 2024-25; and (iii) Demands for Grants in respect of Union Territory of Jammu and Kashmir-2024-25.";"Budget (General)";"/mptrack/debatenotfound";"Aditya Yadav"
"2024-07-24 00:00:00";"(i) General Discussion on the Budget-2024-25; (ii) General Discussion on the Budget of Union Territory of Jammu and Kashmir for 2024-25; and (iii) Demands for Grants in respect of Union Territory of Jammu and Kashmir-2024-25.";"Budget (General)";"/mptrack/debatenotfound";"Abhishek Banerjee"
"2024-08-01 00:00:00";"Discussion on the Demands for Grants Nos. 25 and 26 under the control of the Ministry of Education";"Budget (General)";"/mptrack/debatenotfound";"Kamakhya Prasad Tasa"
"2024-07-31 00:00:00";"Discussion on the Demand for Grant No. 85 under the control of the Ministry of Railways";"Budget (General)";"/mptrack/debatenotfound";"Kamakhya Prasad Tasa"
"2024-07-26 00:00:00";"Regarding integration of village cleanliness works into MGNREGA";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Kamakhya Prasad Tasa"
"2024-08-09 00:00:00";"Request to minister to please take immediate action for the establishment of new industries in sheohar district";"Special Mention";"/mptrack/debatenotfound";"Lovely Anand"
"2024-08-01 00:00:00";"Regarding need to accord permission for speedy construction of bridge in Sheohar Parliamentary Constituency";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Lovely Anand"
"2024-07-30 00:00:00";"(i) General Discussion on the Budget�2024-25; (ii) General Discussion on the Budget of Union Territory of Jammu and Kashmir for 2024-25; and (iii) Demands for Grants in respect of Union Territory of Jammu and Kashmir-2024-25.";"Budget (General)";"/mptrack/debatenotfound";"Lovely Anand"
"2024-07-30 00:00:00";"Request to govt stop using the old buses and sheohar rail project start as soon as possible";"Special Mention";"/mptrack/debatenotfound";"Lovely Anand"
"2024-07-30 00:00:00";"Request to govt that the uniformity of honorarium of anganwadi sisters across the country and they should be given breaks under maternity leave";"Special Mention";"/mptrack/debatenotfound";"Lovely Anand"
"2024-07-25 00:00:00";"Demand to govt for the construction of a bridge on the bagmati river";"Special Mention";"/mptrack/debatenotfound";"Lovely Anand"
"2024-07-02 00:00:00";"Motion of Thanks on the President's Address";"Motion of Thanks on the President's Address";"/mptrack/debatenotfound";"Lovely Anand"
"2024-08-09 00:00:00";"Request to govt. to immediately provide NOC so as to protect the livelihood of the people live in the mountains of Servarayan hills, Yercaud - the poor man�s Ooty, Kalvarayan hills, Pachaimalai hills and Arunootru Malai of the areas in Kallakurichi";"Special Mention";"/mptrack/debatenotfound";"Malaiyarasan D"
"2024-07-26 00:00:00";"(i) General Discussion on the Budget-2024-25; (ii) General Discussion on the Budget of Union Territory of Jammu and Kashmir for 2024-25; and (iii) Demands for Grants in respect of Union Territory of Jammu and Kashmir-2024-25.";"Budget (General)";"/mptrack/debatenotfound";"Saumitra Khan"
"2024-07-02 00:00:00";"Motion of Thanks on the President's Address";"Motion of Thanks on the President's Address";"/mptrack/debatenotfound";"Saumitra Khan"
"2024-08-05 00:00:00";"Discussion on the Demands for Grants Nos. 43 and 44 under the control of the Ministry of Fisheries, Animal Husbandry and Dairying";"Budget (General)";"/mptrack/debatenotfound";"Brijesh Chowta"
"2024-08-02 00:00:00";"Discussion on the Demands for Grants Nos. 46 and 47 under the control of the Ministry of Health and Family Welfare";"Budget (General)";"/mptrack/debatenotfound";"Brijesh Chowta"
