"Date of introduction";"Bill title";"Current Status";"Date - Passage / Withdrawal /Lapsing";"Representative"
"2012-08-09";"The Petrol Pump Workers (Welfare) Bill, 2012";"Lapsed";"2012-10-29";"Adhir Ranjan Chowdhury"
"2012-04-27";"The Computer Training Centres (Regulation) Bill, 2012";"Lapsed";"2012-10-29";"Adhir Ranjan Chowdhury"
"2012-04-27";"The Fishermen (Welfare) Bill, 2011";"Lapsed";"2012-10-29";"Adhir Ranjan Chowdhury"
"2011-08-19";"The Nationalisation of Inter-State Rivers Bill, 2011";"Lapsed";"2012-10-29";"Adhir Ranjan Chowdhury"
"2011-08-19";"The Compulsory Military Training Bill, 2011";"Lapsed";"2012-10-29";"Adhir Ranjan Chowdhury"
"2011-03-11";"The National Commission for Youth Bill, 2011";"Lapsed";"2012-10-29";"Adhir Ranjan Chowdhury"
"2011-02-25";"The Indian Penal Code (Amendment) Bill, 2010 (Amendment of section 304A, etc.)";"Lapsed";"2012-10-29";"Adhir Ranjan Chowdhury"
"2011-02-25";"The Treatment of Attempt to Suicide as a Non-Punishable Offence Bill, 2010";"Lapsed";"2012-10-29";"Adhir Ranjan Chowdhury"
"2011-02-25";"The Coffee Growers Welfare Bill, 2010";"Lapsed";"2012-10-29";"Adhir Ranjan Chowdhury"
"2010-08-13";"The High Court at Calcutta (Establishment of a Permanent Bench at Murshidabad) Bill, 2010";"Lapsed";"2012-10-29";"Adhir Ranjan Chowdhury"
"2010-08-13";"The Special Financial Assistance to the State of West Bengal Bill, 2010";"Lapsed";"2012-10-29";"Adhir Ranjan Chowdhury"
"2010-04-30";"The Abolition of Child Labour Bill, 2010";"Lapsed";"2012-10-29";"Adhir Ranjan Chowdhury"
"2010-04-30";"The Indian Penal Code (Amendment) Bill, 2010 (Insertion of new section 335A)";"Lapsed";"2012-10-29";"Adhir Ranjan Chowdhury"
"2009-12-04";"The Child Welfare Bill, 2009";"Withdrawn";"2011-02-25";"Adhir Ranjan Chowdhury"
"2009-12-04";"The Abolition of Death Penalty to Women, Children and Indigent Persons Bill, 2009";"Lapsed";"2012-10-29";"Adhir Ranjan Chowdhury"
"2009-07-31";"The Old Age Pension and Rehabilitation Bill, 2009";"Lapsed";"2012-10-29";"Adhir Ranjan Chowdhury"
"2009-07-17";"The Agricultural Workers (Employment, Conditions of Service and Welfare) Bill, 2009";"Lapsed";"2012-10-29";"Adhir Ranjan Chowdhury"
"2009-07-17";"The Prevention of Female Infanticide Bill, 2009";"Lapsed";"2012-10-29";"Adhir Ranjan Chowdhury"
"2012-08-09";"The Constitution (Amendment of the Eighth Schedule) Bill, 2011";"Pending";"";"Ajay Kumar"
"2012-08-09";"The Constitution (Scheduled Castes) Order (Amendment) Bill, 2012 (Amendment of the Schedule)";"Pending";"";"Ajay Kumar"
"2012-08-09";"The Health Insurance (For Persons Living Below Poverty Line) Bill, 2011";"Pending";"";"Ajay Kumar"
"2010-08-13";"The Cinematograph (Amendment) Bill, 2010 (Amendment of section 2, etc.)";"Pending";"";"Anandrao Adsul"
"2010-08-13";"The Constitution (Amendment) Bill, 2010 (Amendment of article 117, etc.)";"Pending";"";"Anandrao Adsul"
"2010-08-13";"The Consumer Protection (Amendment) Bill, 2010 (Amendment of section 2, etc.)";"Pending";"";"Anandrao Adsul"
"2013-02-22";"The Constitution (Amendment) Bill, 2012 (Amendment of article 72)";"Pending";"";"Anant Gangaram Geete"
"2009-12-04";"The Constitution (Amendment) Bill, 2009 (Amendment of the Seventh Schedule)";"Pending";"";"Anant Kumar Hegde"
"2009-12-04";"The Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forest Rights) Amendment Bill, 2009 (Amendment of sections 2 and 6)";"Pending";"";"Anant Kumar Hegde"
"2012-12-07";"The High Court of Kerala (Establishment of a Permanent Bench at Thiruvananthapuram) Bill, 2012";"Pending";"";"Anirudhan Sampath"
"2013-02-22";"The Hindu Succession (Amendment) Bill, 2013 (Amendment of section 3 and 15)";"Pending";"";"Anurag Singh Thakur"
"2012-12-07";"The Technology Bank of India Bill, 2012";"Pending";"";"Arjun Ram Meghwal"
"2012-12-07";"The Education Bank of India Bill, 2012";"Pending";"";"Arjun Ram Meghwal"
"2012-12-07";"The High Court of Rajasthan (Establishment of a Permanent Bench at Bikaner) Bill, 2012";"Pending";"";"Arjun Ram Meghwal"
"2012-12-07";"The Persons with Disabilities (Equal Opportunities, Protection of Rights and Full Participation) Amendment Bill, 2012 (Amendment of sections 2 and 33)";"Pending";"";"Arjun Ram Meghwal"
"2012-04-27";"The Indian Penal Code (Amendment) Bill, 2011 (Omission of section 124A)";"Pending";"";"Arjun Ram Meghwal"
"2012-04-27";"The Indian Penal Code (Amendment) Bill, 2012 (Amendment of section 377)";"Pending";"";"Arjun Ram Meghwal"
"2012-04-27";"The Pre-conception and Pre-natal Diagnostic Techniques (Prohibition of Sex Selection) Amendment Bill, 2012 (Insertion of new section 16B, etc.)";"Pending";"";"Arjun Ram Meghwal"
"2011-09-02";"The Safai Karamacharis Insurance Scheme Bill, 2011";"Pending";"";"Arjun Ram Meghwal"
"2011-08-19";"The Special Educational Facilities (For Children of Parents Living Below Poverty Line) Bill, 2011";"Pending";"";"Arjun Ram Meghwal"
"2011-08-19";"The Scheduled Castes and the Scheduled Tribes (Reservation in Posts and Services) Bill, 2011";"Pending";"";"Arjun Ram Meghwal"
"2011-03-11";"The Constitution (Amendment) Bill, 2011 (Amendment of articles 124 and 216)";"Pending";"";"Arjun Ram Meghwal"
"2011-03-11";"The Constitution (Amendment) Bill, 2011 (Insertion of new article 330A, etc.)";"Pending";"";"Arjun Ram Meghwal"
"2010-04-30";"The Constitution (Amendment) Bill, 2010 (Amendment of article 85)";"Pending";"";"Arjun Ram Meghwal"
"2010-04-30";"The Price Control Bill, 2010";"Pending";"";"Arjun Ram Meghwal"
"2010-04-30";"The Indigent Persons Welfare Bill, 2010";"Pending";"";"Arjun Ram Meghwal"
"2009-12-04";"The Rainwater (Compulsory Harvesting) Bill, 2009";"Pending";"";"Arjun Ram Meghwal"
"2009-12-04";"The Integrated Child Development Services (Regularisation) Bill, 2009";"Pending";"";"Arjun Ram Meghwal"
"2009-12-04";"The Domestic Workers (Conditions of Service) Bill, 2009";"Pending";"";"Arjun Ram Meghwal"
"2009-12-04";"The Special Financial Assistance to the State of Rajasthan Bill, 2009";"Pending";"";"Arjun Ram Meghwal"
"2009-07-03";"The Constitution (Amendment) Bill, 2009 (Amendment of the Eighth Schedule)";"Pending";"";"Arjun Ram Meghwal"
"2011-02-25";"The Banking Laws (Amendment) Bill, 2010";"Pending";"";"Asaduddin Owaisi"
"2012-08-09";"The Ancient Monuments and Archaeological Sites and Remains (Amendment) Bill, 2011 (Amendment of section 20A, etc.)";"Pending";"";"A.T. Nana Patil"
"2012-08-09";"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2011 (Amendment of the Schedule)";"Pending";"";"A.T. Nana Patil"
"2012-08-09";"The Environment Protection (Amendment) Bill, 2011 (Insertion of new Chapter IIIA)";"Pending";"";"A.T. Nana Patil"
"2012-08-09";"The National Assets (Protection) Bill, 2011";"Pending";"";"A.T. Nana Patil"
"2011-08-19";"The Government Services (Regulation of Compassionate Appointments) Bill, 2011";"Pending";"";"A.T. Nana Patil"
"2011-08-19";"The Television Programmes (Regulation) Bill, 2011";"Pending";"";"A.T. Nana Patil"
"2011-02-25";"The Agricultural Workers Welfare Bill, 2010";"Pending";"";"A.T. Nana Patil"
"2011-02-25";"The Banana Growers (Protection and Welfare) Bill, 2010";"Pending";"";"A.T. Nana Patil"
"2011-02-25";"The National Flood Control and Rehabilitation Authority Bill, 2010";"Pending";"";"A.T. Nana Patil"
"2011-02-25";"The Railways (Amendment) Bill, 2010 (Insertion of new chapter XIIIA)";"Pending";"";"A.T. Nana Patil"
"2013-02-22";"The Information Technology (Amendment) Bill, 2013 (Amendment of section 2, etc.)";"Pending";"";"Baijayant Jay Panda"
"2012-12-07";"The Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, production, Supply and Distribution) Amendment Bill, 2012 (Amendment of section 3, etc.)";"Pending";"";"Baijayant Jay Panda"
