"Date of introduction";"Bill title";"Current Status";"Date - Passage / Withdrawal /Lapsing";"link";"Representative"
"2016-05-08";"The Prohibition and Eradication of Ragging Bill, 2016";"Pending";"";"";"Adhir Ranjan Chowdhury"
"2014-11-28";"The Agricultural Workers (Employment, Conditions of Service and Welfare) Bill, 2014";"Pending";"";"";"Adhir Ranjan Chowdhury"
"2014-11-28";"The Old Age Pension and Rehabilitation Bill, 2014";"Pending";"";"";"Adhir Ranjan Chowdhury"
"2014-11-28";"The prevention of Female Infanticide Bill, 2014";"Pending";"";"";"Adhir Ranjan Chowdhury"
"2014-11-28";"The Special Financial Assistance to the State of West Bengal Bill, 2014";"Pending";"";"";"Adhir Ranjan Chowdhury"
"2018-03-08";"The Supreme Court and the High Courts (Use of Official Languages and Other Provisions) Bill, 2018";"Pending";"";"";"Ajay Misra Teni"
"2017-12-29";"The Compulsory Establishment of Government Women College Bill, 2017";"Pending";"";"";"Ajay Misra Teni"
"2017-10-03";"The National Board for Welfare of Flood Victims Bill, 2016";"Pending";"";"";"Ajay Misra Teni"
"2017-10-03";"The Plastic Recycling Bill, 2017";"Pending";"";"";"Ajay Misra Teni"
"2016-05-08";"The Welfare of Homeless Persons Living Near Railway Tracks, Railway Yards and Railway Land Bill, 2016";"Pending";"";"";"Ajay Misra Teni"
"2015-07-08";"The Crop Insurance Bill, 2015";"Pending";"";"";"Ajay Misra Teni"
"2015-04-24";"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2015 (Amendment of the Schedule)";"Pending";"";"";"Alok Sanjar"
"2015-02-27";"The Central Universities (Amendment) Bill, 2015 (Amendment of section 3, etc.)";"Pending";"";"";"Alok Sanjar"
"2015-02-27";"The High Court of Madhya Pradesh (Establishment of a Permanent Bench at Bhopal) Bill, 2015";"Pending";"";"";"Alok Sanjar"
"2015-08-05";"The Constitution (Amendment) Bill, 2015 (Amendment of article 16)";"Pending";"";"";"Anandrao Adsul"
"2015-08-05";"The Constitution (Amendment) Bill, 2015 (Amendment of article 330)";"Pending";"";"";"Anandrao Adsul"
"2019-08-02";"The Merchant Shipping (Amendment) Bill, 2018 (Amendment of section 88, etc.).";"Pending";"";"";"Anirudhan Sampath"
"2018-03-08";"The Bamboo, Cane, Screw Pine and Mat Weavers and Workers (Welfare) Bill, 2017";"Pending";"";"";"Anirudhan Sampath"
"2018-03-08";"The Rainwater (Harvesting and Storage) Bill, 2017";"Pending";"";"";"Anirudhan Sampath"
"2016-04-29";"The Life Insurance Agents Welfare Bill, 2016";"Pending";"";"";"Anirudhan Sampath"
"2016-02-26";"The Supreme Court of India (Establishment of a Permanent Bench at Thiruvananthapuram) Bill, 2016";"Pending";"";"";"Anirudhan Sampath"
"2015-03-13";"The National Commission for Students Bill, 2015";"Pending";"";"";"Anirudhan Sampath"
"2014-12-12";"The Nursing Profession (Abolition of Service Bond and Miscellaneous Provisions) Bill, 2014";"Pending";"";"";"Anto Antony"
"2018-12-28";"The Population (Stabilization & Planning) Bill, 2018";"Pending";"";"";"Anurag Singh Thakur"
"2018-12-28";"The Single-Use Plastic (Regulation) Bill, 2018";"Pending";"";"";"Anurag Singh Thakur"
"2018-12-28";"The Suicide Prevention in Youth Bill, 2018";"Pending";"";"";"Anurag Singh Thakur"
"2018-12-28";"The Water (Accessibility and Conservation) Bill, 2018";"Pending";"";"";"Anurag Singh Thakur"
"2018-03-08";"The National Tourism (Sustainable Development and Promotion) Bill, 2018";"Pending";"";"";"Anurag Singh Thakur"
"2016-04-29";"The Constitution (Amendment) Bill, 2016 (Amendment of article 72)";"Pending";"";"";"Anurag Singh Thakur"
"2016-04-29";"The Constitution (Amendment) Bill, 2016 (Amendment of the Se-venth Schedule)";"Pending";"";"";"Anurag Singh Thakur"
"2016-04-29";"The National Sports Ethics Commission Bill, 2016";"Pending";"";"";"Anurag Singh Thakur"
"2018-12-28";"The Ban on the use of Microbeads in Cosmetic Products Bill, 2018";"Pending";"";"";"A.P. Jithender Reddy"
"2018-12-28";"The Declaring of Habitual Offenders Laws as void Bill, 2018";"Pending";"";"";"A.P. Jithender Reddy"
