"Name";"Constituency";"Minister";"Attendance";"Debates";"Questions";"Private Member Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Comment";"Lok Sabha";"Debates (Ls - Matters Under (Rule-377))";"Debates (Special Mention)";"Debates (Government Bills)";"Debates (Motion Of Thanks On The President'S Address)";"Debates (Private Members' Bills)";"Debates (Ls - Short Duration Discussions (Rule-193))";"Debates (Budget (General))";"Debates (Motion Of Thanks On The President�S Address)";"Questions (Development Of North Eastern Region)";"Questions (Law And Justice)";"Questions (Health And Family Welfare)";"Questions (Minority Affairs)";"Questions (Textiles)";"Questions (Railways)";"Questions (Home Affairs)";"Questions (Environment, Forest And Climate Change)";"Questions (Tourism)";"Questions (Culture)";"Questions (Ayush)";"Questions (Ports, Shipping And Waterways)";"Questions (Jal Shakti)";"Questions (Communications)";"Questions (Planning)";"Questions (Agriculture And Farmers Welfare)";"Questions (Finance)";"Questions (Prime Minister)";"Questions (Women And Child Development)";"Questions (Road Transport And Highways)";"Questions (Social Justice And Empowerment)";"Questions (Coal)";"Questions (Parliamentary Affairs)";"Questions (Tribal Affairs)";"Questions (Education)";"Questions (External Affairs)";"Questions (Civil Aviation)";"Questions (Commerce And Industry)";"Questions (Statistics And Programme Implementation)";"Questions (Power)";"Questions (Labour And Employment)";"Questions (Steel)";"Questions (Defence)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Electronics And Information Technology)";"Questions (Rural Development)";"Questions (Panchayati Raj)";"Questions (Information And Broadcasting)";"Questions (Youth Affairs And Sports)";"Questions (Corporate Affairs)";"Questions (Heavy Industries And Public Enterprises)";"Questions (Housing And Urban Affairs)";"Questions (Petroleum And Natural Gas)";"Questions (Skill Development And Entrepreneurship)";"Questions (Micro, Small And Medium Enterprises)";"Questions (Human Resource Development)";"Questions (Shipping)";"Questions (Earth Sciences)";"Questions (Food Processing Industries)";"Questions (Mines)";"Questions (Cooperation)";"Questions (Chemicals And Fertilizers)";"Questions (Fisheries, Animal Husbandry And Dairying)";"Questions (New And Renewable Energy)";"Questions (Science And Technology)";"Questions (Statiscs And Programme Implementation)";"Debates (Others)";"Debates (Discussion)";"Debates (Private Members' Resolutions)";"Debates (Submissions By Members)";"Debates (Statement By Minister)";"Debates (Clarification On The Statement By Minister)";"Debates (Felicitations)";"Questions (Consumer Affairs)";"Questions (Micro)";"Debates (Ls - Half-An-Hour Discussions (Rule-55))";"Questions (Atomic Energy)";"Questions (Heavy Industries)";"Questions (Space)";"Questions (Personnel, Public Grievances And Pensions)"
"Abdul Khaleque";"Barpeta";"No";"92.00%";"68";"279";"8";"Assam";"Indian National Congress";"Elected";"23-05-2019";"In Office";"First Term";"53";"Male";"Post Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"18";"29";"7";"4";"2";"1";"6";"1";"12";"4";"12";"12";"7";"14";"27";"12";"6";"3";"6";"4";"20";"3";"4";"13";"8";"2";"14";"7";"4";"1";"1";"8";"6";"8";"2";"10";"2";"1";"5";"2";"4";"3";"2";"3";"3";"3";"2";"3";"1";"2";"5";"3";"2";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Abhishek Banerjee";"Diamond Harbour";"No";"19.80%";"2";"84";"0";"West Bengal";"All India Trinamool Congress";"Elected";"23-05-2019";"In Office";"Second Term";"36";"Male";"Post Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"0";"1";"0";"0";"0";"1";"0";"3";"3";"10";"2";"0";"3";"2";"2";"1";"0";"0";"0";"4";"1";"0";"1";"4";"1";"4";"2";"2";"0";"1";"3";"5";"0";"1";"1";"0";"2";"1";"0";"1";"2";"4";"3";"1";"2";"0";"1";"0";"2";"1";"0";"4";"0";"0";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Abu Hasem Khan Choudhury";"Maldaha Dakshin";"No";"55.93%";"5";"12";"0";"West Bengal";"Indian National Congress";"Elected";"23-05-2019";"In Office";"Fourth Term";"86";"Male";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Abu Taher Khan";"Murshidabad";"No";"63.07%";"6";"4";"0";"West Bengal";"All India Trinamool Congress";"Elected";"23-05-2019";"In Office";"First Term";"62";"Male";"Information Not Available";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"3";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Achyutananda Samanta";"Kandhamal";"No";"65.47%";"33";"169";"0";"Odisha";"Biju Janata Dal";"Elected";"23-05-2019";"In Office";"First Term";"60";"Male";"Doctorate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"1";"10";"8";"1";"0";"5";"7";"1";"0";"1";"10";"1";"3";"13";"1";"7";"6";"3";"3";"1";"4";"4";"0";"6";"5";"0";"6";"5";"4";"1";"0";"7";"8";"3";"7";"4";"0";"2";"3";"0";"5";"4";"2";"4";"1";"1";"3";"0";"2";"5";"3";"1";"4";"1";"1";"1";"0";"0";"1";"3";"5";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Adala Prabhakara Reddy";"Nellore";"No";"55.73%";"2";"232";"0";"Andhra Pradesh";"Yuvajana Sramika Rythu Congress Party";"Elected";"23-05-2019";"In Office";"First Term";"75";"Male";"Inter/ Higher Secondary";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"2";"0";"0";"0";"0";"0";"0";"0";"4";"10";"1";"5";"8";"4";"9";"5";"2";"11";"5";"7";"7";"0";"7";"13";"3";"3";"3";"1";"4";"0";"3";"8";"0";"13";"6";"0";"1";"5";"3";"3";"7";"1";"5";"1";"4";"1";"5";"10";"8";"8";"1";"4";"3";"0";"2";"2";"1";"1";"6";"5";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Adhikari Deepak (Dev)";"Ghatal";"No";"12.20%";"2";"106";"0";"West Bengal";"All India Trinamool Congress";"Elected";"23-05-2019";"In Office";"Second Term";"41";"Male";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"7";"0";"0";"8";"5";"5";"0";"0";"0";"0";"8";"0";"0";"7";"13";"0";"2";"1";"0";"2";"0";"0";"2";"2";"3";"6";"1";"1";"5";"0";"3";"5";"1";"4";"0";"1";"0";"0";"0";"3";"4";"0";"1";"2";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Adhir Ranjan Chowdhury";"Baharampur";"No";"89.33%";"233";"69";"5";"West Bengal";"Indian National Congress";"Elected";"23-05-2019";"In Office";"Fifth Term";"67";"Male";"Under Matric";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"8";"68";"95";"6";"0";"10";"14";"0";"0";"5";"5";"2";"0";"3";"5";"3";"0";"0";"2";"0";"6";"0";"0";"1";"3";"0";"1";"0";"0";"0";"0";"0";"3";"2";"0";"1";"1";"1";"3";"0";"3";"0";"0";"3";"1";"1";"2";"1";"0";"2";"3";"0";"1";"3";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"5";"1";"1";"22";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0"
"Adoor Prakash";"Attingal";"No";"82.87%";"66";"388";"0";"Kerala";"Indian National Congress";"Elected";"23-05-2019";"In Office";"First Term";"68";"Male";"Professional Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"22";"30";"0";"4";"0";"0";"9";"1";"0";"11";"40";"1";"1";"26";"26";"21";"7";"0";"5";"3";"10";"9";"1";"14";"25";"5";"6";"14";"4";"0";"0";"1";"16";"11";"13";"5";"1";"3";"12";"1";"3";"8";"5";"10";"2";"6";"4";"1";"1";"9";"11";"1";"3";"5";"2";"5";"0";"0";"0";"1";"14";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Afzal Ansari";"Ghazipur";"No";"69.82%";"3";"0";"0";"Uttar Pradesh";"Bahujan Samaj Party";"Elected";"23-05-2019";"In Office";"Second Term";"70";"Male";"Post Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
